,SN,expectedAge,Age,AgeRange,Gender,Race,S3.Others,Citizen,Marital,WhenMarry,NoMarry.CannotFind,NoMarry.TooExpensive,NoMarry.CannotFindHouse,NoMarry.Others,A3_4.Others,No.Children,No.ChildrenIntend,MoreChildren,Child.TooExpensive,Child.HardSecureHouse,Child.TooCompetitive,Child.TooUncertain,Child.DifficultChildcare,Child.AffectCareer,Child.Enough,Others,A7_8.Others,Breadwinner,PurchaseHouse,WithWho,DecisionMaker,YrPurchase,YrNextChild,DualIncome,SingleIncome,NonHousingAssets,Rank_Size,Rank_Location,Rank_Gains,Rank_MoveInTime,Rank_SellTime,C1_1,C1_2,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,C3_4,C3_a,C3_b,C4Post_1,C4Post_2,C4Post_3,C4Post_4,C5_1,C5_2,C5_3,C6_1,C6_2,C6_3,C6_4,C6_a,C6_b,D1_1,D1_2,D2_1,D2_2,D2_3,D3_1,D3_2,D3_3,D3_4,D3_a,D3_b,D4Post_1,D4Post_2,D4Post_3,D4Post_4,D5_1,D5_2,D5_3,D6_1,D6_2,D6_3,D6_4,D6_a,D6_b,E1_1,E1_2,E2_1,E2_2,E2_3,E3_1,E3_2,E3_3,E3_4,E3_a,E3_b,E4Post_1,E4Post_2,E4Post_3,E4Post_4,E5_1,E5_2,E5_3,E6_1,E6_2,E6_3,E6_4,E6_a,E6_b,F1_1,F1_2,F2_1,F2_2,F2_3,F3_1,F3_2,F3_3,F3_4,F3_a,F3_b,F4Post_1,F4Post_2,F4Post_3,F4Post_4,F5_1,F5_2,F5_3,F6_1,F6_2,F6_3,F6_4,F6_a,F6_b,CD_s_1_1,CD_s_1_2,CD_s_2_1,CD_s_2_2,CD_s_2_3,CD_s_2_a,CD_s_2_b,CD_s_3_1,CD_s_3_2,CD_s_3_3,CD_s_4_1,CD_s_4_2,CD_s_4_3,CD_s_5_1,CD_s_5_2,CD_s_5_3,CD_s_5_4,CD_s_5_a,CD_s_5_b,E_s_1_1,E_s_1_2,E_s_2_1,E_s_2_2,E_s_2_3,E_s_2_a,E_s_2_b,E_s_3_1,E_s_3_2,E_s_3_3,E_s_4_1,E_s_4_2,E_s_4_3,E_s_5_1,E_s_5_2,E_s_5_3,E_s_5_4,E_s_5_a,E_s_5_b,Policy.10mopTooLong,Policy.8mopTooLong,Policy.mopWontSell,Policy.mopCanWait,Policy.8clawbackTooStiff,Policy.4clawbackTooStiff,Policy.clawbackWontSell,Policy.clawbackCanCover,Policy.LikeLocation,Policy.LikeBig,Policy.Others,G1_11.Others,ChangeFamilyPlanning,MoreChild,LessChild,PolicyFamily.LessHousingBurden,PolicyFamily.MoreHousingBurden,PolicyFamily.EasierChildrenEnvironment,PolicyFamily.DifficultChildrenEnvironment,PolicyFamily.LifestyleChange,PolicyFamily.Others,G5_6.Others,CentralPublicDemand,CentralPrivateDemand,CentralPublicSupply,CentralPrivateSupply,CentralReturns,CentralVolatility,CentralPublicDemandPost,CentralPrivateDemandPost,CentralPublicSupplyPost,CentralPrivateSupplyPost,CentralReturnsPost,CentralVolatilityPost,PlusPublicDemand,PlusPrivateDemand,PlusPublicSupply,PlusPrivateSupply,PlusReturns,PlusVolatility,PlusPublicDemandPost,PlusPrivateDemandPost,PlusPublicSupplyPost,PlusPrivateSupplyPost,PlusReturnsPost,PlusVolatilityPost,StandardPublicDemand,StandardPrivateDemand,StandardPublicSupply,StandardPrivateSupply,StandardReturns,StandardVolatility,StandardPublicDemandPost,StandardPrivateDemandPost,StandardPublicSupplyPost,StandardPrivateSupplyPost,StandardReturnsPost,StandardVolatilityPost,Winner_LowIncomeBTO,Winner_HighIncomeBTO,Winner_PrivatePropertyPurchasers,Winner_HighIncomeResale,H1_5,Benefit_Below40yo,Benefit_40yo60yo,Benefit_Above60yo,Segregation,LowerWealthAccum,PersonalIncome,Education,Employment,I3.Others,Industry,WorkplaceLocate,WorkplaceLocality,HomeLocate,CurrentHouseOwner,I9.Others,CurrentHousingType,HDBType,PrivateType,I7_b_b.Others,YrMoveInHome,Owner.Parent,Owner.Spouse,Owner.Family,Owner.Friend,Owner.Other,I10_a_5.Others,HomeValueEstimate,RentFrom,I10_r_a.Others,HomeRentEstimate,Two_MatureNew,Two_NonMatureNew,Tri_MatureNew,Tri_NonMatureNew,Tri_MatureResale,Four_MatureNew,Four_NonMatureNew,Four_MatureResale,Four_NonMatureResale,PrePolicyDownpayment,PrePolicyTDSR,Post_PrimeNew,Post_NonMatureNew,Post_PlusResale,Post_NonMatureResale,Z5_1,Z5_2,Z5_3,PostFour_HighestRank,PostFour_MidPrimeNew,PostFour_SmallPrimeNew,PostFour_BigPlusNew,PostPolicyDownpayment,PostPolicyTDSR,Two_Single_MatureNew,Two_Single_MatureResale,Tri_Single_MatureNew,Tri_Single_MatureResale,Tri_Single_NonMatureResale,PrePolicyDownpaymentSingle,PrePolicyTDSRSingle,Post_Single_PrimeNew,Post_Single_PlusResale,Post_Single_NonMatureResale,Z_s_4_1,Z_s_4_2,Z_s_4_3,PostSingleFour_HighestRank,PostSingleFour_PrimeNew,PostSingleFour_PrimeResale,PostSingleFour_BigPlusResale,PostPolicyDownpaymentSingle,PostPolicyTDSRSingle,2ChoiceRANK1,3ChoiceRANK1,4ChoiceRANK1,PostChoiceRANK1,PostFourChoiceRANK1,2ChoiceRANK2,3ChoiceRANK2,4ChoiceRANK2,PostChoiceRANK2,PostFourChoiceRANK2,2ChoiceRANK3,3ChoiceRANK3,4ChoiceRANK3,PostChoiceRANK3,PostFourChoiceRANK3,2ChoiceRANK4,3ChoiceRANK4,4ChoiceRANK4,PostChoiceRANK4,PostFourChoiceRANK4,2ChoiceSingleRANK1,3ChoiceSingleRANK1,PostChoiceSingleRANK1,PostFourChoiceSingleRANK1,2ChoiceSingleRANK2,3ChoiceSingleRANK2,PostChoiceSingleRANK2,PostFourChoiceSingleRANK2,2ChoiceSingleRANK3,3ChoiceSingleRANK3,PostChoiceSingleRANK3,PostFourChoiceSingleRANK3,2ChoiceSingleRANK4,3ChoiceSingleRANK4,PostChoiceSingleRANK4,PostFourChoiceSingleRANK4,single_eligible,Rank_1,single1buy,ineli,Pn1,Pm1,P%1,Pn2,Pm2,P%2,Pn3,Pm3,P%3
10,11,36,33,3,2,1, ,1,1,,0,0,0,0, ,1,,2.0,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2027,2027,2.0,,3,5,4,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,3,1,2,4,3,20%,20%,1,2,4,3,300,300,300,1,3,4,2,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,0,0,0,0,0,0,0, ,4, ,1,0,1,0,0,0,0, ,5,5,5,5,5,4,4,4,4,5,4,4,4,5,4,4,5,4,4,5,4,5,4,5,5,5,5,4,4,4,5,5,4,4,5,4,2,5,1,4,3,3,2,1,1,2,5,2,6, ,11.0,Hougang,,530912,2, ,3,4.0,, ,2015,0,1,0,0,0, ,90000,, , ,1.0,2.0,1,2,3.0,1.0,2.0,4.0,3.0,20%,20%,1.0,2.0,4.0,3.0,300.0,300.0,300.0,1.0,3.0,4.0,2.0,20%,20%,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,,3.0,4.0,4.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,4,0,0,300.0,-200.0,-0.6666666666666666,300.0,-200.0,-0.6666666666666666,300.0,-200.0,-0.6666666666666666
11,12,38,22,1,1,2, ,1,3,2.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,2,,2040,2035,,2.0,1,3,4,5,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,3,30%,55%,1,2,3,300,200,200,2,1,3,4,40%,55%,0,1,0,0,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,7,4,5,3,3,4,4,3,5,3,7,4,4,4,5,4,4,3,4,4,6,3,3,4,4,4,5,3,5,4,4,3,3,3,4,4,2,5,3,1,1,2,3,3,1,7,2,6, ,9.0,One North,,One North,4, ,3,3.0,, ,2024,0,0,0,0,0, ,200000,, , ,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2.0,1.0,3.0,30%,55%,1.0,2.0,3.0,300.0,200.0,200.0,2.0,1.0,3.0,4.0,40%,55%,,1.0,3.0,1.0,2.0,,3.0,1.0,3.0,1.0,,,4.0,4.0,3.0,,,,,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,3.0,3.0,3.0,,,,4.0,1,4,1,0,300.0,0.0,0.0,200.0,-100.0,-0.5,200.0,-100.0,-0.5
12,13,33,31,3,2,1, ,1,1,,0,0,0,0, ,0,1.0,,1,0,0,1,1,0,0,0, ,1,2,3,1.0,2026, ,2.0,,1,4,2,3,1,5, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,2,1,3,2,4,50%,30%,1,3,2,4,350,350,350,2,3,1,4,30%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,1,0,0,0,0,1,0,0, ,1, , ,0,0,0,0,0,0, ,5,5,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,5,5,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,5,3,2,4,5,1,1,2,3,2,1,4,3,6, ,20.0,MacPherson,,529868,4, ,1,,5.0, ,2023,0,0,0,0,0, ,1000000,, , ,1.0,2.0,1,3,2.0,1.0,3.0,2.0,4.0,50%,30%,1.0,3.0,2.0,4.0,350.0,350.0,350.0,2.0,3.0,1.0,4.0,30%,20%,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,,2.0,2.0,2.0,2.0,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,0,4,0,0,350.0,-150.0,-0.42857142857142855,350.0,-150.0,-0.42857142857142855,350.0,-150.0,-0.42857142857142855
13,14,40,34,3,1,1, ,1,1,,0,0,0,0, ,1,,1.0,1,0,1,1,1,1,0,0, ,1,1,3,1.0,2030, ,2.0,,3,5,1,4,3,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,2,1,4,2,3,20%,20%,1,4,2,3,300,400,500,1,2,4,3,20%,25%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,6,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,3,1,4,2,5,1,2,3,3,1,4,2,6, ,11.0,City Hall,,Clementi,2, ,3,4.0,, ,2017,0,1,0,0,0, ,850000,, , ,1.0,2.0,1,3,2.0,1.0,4.0,2.0,3.0,20%,20%,1.0,4.0,2.0,3.0,300.0,400.0,500.0,1.0,2.0,4.0,3.0,20%,25%,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,,2.0,4.0,4.0,4.0,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,300.0,-200.0,-0.6666666666666666,400.0,-100.0,-0.25,500.0,0.0,0.0
14,15,41,35,3,1,1, ,1,3,1.0,1,1,0,0, ,0,1.0,,1,0,1,1,1,0,0,0, ,2,1,2,,2030, ,,2.0,2,4,5,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,2,20%,50%,1,3,2,400,500,400,4,3,2,1,20%,50%,0,0,1,0,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,6,6,2,6,7,4,4,6,6,5,7,4,6,5,6,4,6,4,4,5,2,6,7,4,6,6,5,4,6,4,4,5,4,4,4,4,5,3,4,2,1,3,2,1,3,1,5,2,6, ,1.0,Tai Seng,,Serangoon,5, ,3,4.0,, ,1989,1,0,0,0,0, ,550000,, , ,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1.0,3.0,2.0,20%,50%,1.0,3.0,2.0,400.0,500.0,400.0,4.0,3.0,2.0,1.0,20%,50%,,1.0,1.0,1.0,4.0,,3.0,4.0,4.0,3.0,,,3.0,3.0,2.0,,,,,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,,2.0,2.0,2.0,,,,1.0,1,5,1,0,400.0,100.0,0.25,500.0,200.0,0.4,400.0,100.0,0.25
15,16,37,34,3,2,1, ,1,3,3.0,0,0,0,0, ,0,1.0,,0,0,0,0,0,0,0,1,Do not like children,1,2,3,2.0,2027, ,4.0,,5,2,1,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,2,1,3,4,1,2,20%,20%,3,4,1,2,700,680,800,4,1,2,3,30%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,6,6,5,4,4,4,6,6,2,4,3,5,1,3,1,2,3,1,6,2,6, ,13.0,238868,,543202,5, ,3,5.0,, ,2002,1,0,0,0,0, ,700000,, , ,2.0,1.0,3,2,1.0,3.0,4.0,1.0,2.0,20%,20%,3.0,4.0,1.0,2.0,700.0,680.0,800.0,4.0,1.0,2.0,3.0,30%,20%,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,,1.0,1.0,1.0,4.0,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,0,2,0,1,700.0,-300.0,-0.42857142857142855,680.0,-320.0,-0.47058823529411764,800.0,-200.0,-0.25
16,17,30,26,2,1,1, ,1,3,3.0,0,0,0,0, ,0,2.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2028,2030,2.0,,2,2,1,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,4,1,3,2,20%,50%,4,1,3,2,500,300,600,2,4,3,1,20%,50%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,4,3,2,3,5,5,4,6,4,6,6,6,4,6,5,3,5,5,5,3,5,5,4,6,4,5,7,5,3,5,4,6,5,5,6,6,5,4,2,3,1,3,1,2,2,1,5,2,6, ,11.0,Potong Pasir MRT,,Choa Chu Kang,5, ,3,4.0,, ,1998,1,0,0,0,0, ,600000,, , ,2.0,1.0,2,1,3.0,4.0,1.0,3.0,2.0,20%,50%,4.0,1.0,3.0,2.0,500.0,300.0,600.0,2.0,4.0,3.0,1.0,20%,50%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,,3.0,3.0,3.0,3.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,0,2,0,0,500.0,0.0,0.0,300.0,-200.0,-0.6666666666666666,600.0,100.0,0.16666666666666666
17,18,35,31,3,2,1, ,1,3,2.0,0,0,0,0, ,0,2.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2028,2031,2.0,,3,3,2,4,1,5, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,1,2,4,3,20%,10%,2,1,4,3,500,390,470,2,3,4,1,20%,10%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,4,4,4,3,3,5,4,4,5,4,3,4,4,4,5,4,3,4,4,3,4,4,4,5,4,4,3,4,3,4,4,3,5,4,3,4,1,4,3,5,2,1,2,3,2,1,4,2,5, ,, ,2.0,Woodlands,5, ,3,4.0,, ,2019,1,0,0,0,0, ,450000,, , ,2.0,1.0,2,1,3.0,1.0,2.0,4.0,3.0,20%,10%,2.0,1.0,4.0,3.0,500.0,390.0,470.0,2.0,3.0,4.0,1.0,20%,10%,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,,3.0,4.0,4.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,4,0,0,500.0,0.0,0.0,390.0,-110.0,-0.28205128205128205,470.0,-30.0,-0.06382978723404255
18,19,37,35,3,2,1, ,1,1,,0,0,0,0, ,1,,2.0,0,0,0,0,0,0,0,0, ,2,1,3,2.0,2026,2025,2.0,,5,2,1,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,3,1,3,4,1,2,20%,30%,3,4,1,2,400,300,350,1,2,3,4,20%,30%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,1,0,0,0,0,0,0, ,4, ,1,0,1,0,1,1,0, ,3,2,4,4,4,4,4,4,4,4,4,4,1,1,2,2,2,2,2,2,4,4,4,4,3,3,4,3,4,4,3,3,4,4,4,4,1,2,4,5,3,3,2,1,2,1,6,2,6, ,16.0,One North MRT,,Clementi,2, ,3,4.0,, ,2012,0,1,0,0,0, ,500000,, , ,1.0,2.0,2,3,1.0,3.0,4.0,1.0,2.0,20%,30%,3.0,4.0,1.0,2.0,400.0,300.0,350.0,1.0,2.0,3.0,4.0,20%,30%,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,4.0,2.0,,2.0,1.0,1.0,3.0,,,2.0,2.0,4.0,,,,,,,,,,,,,,,,,0,2,0,0,400.0,-100.0,-0.25,300.0,-200.0,-0.6666666666666666,350.0,-150.0,-0.42857142857142855
19,20,30,28,2,2,1, ,1,3,2.0,0,0,0,0, ,0,2.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2026,2026,2.0,,3,2,1,5,4,3, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,2,1,4,3,30%,30%,2,1,4,3,400,300,350,1,3,4,2,35%,30%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,1,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,4,5,5,3,4,4,5,5,4,3,4,5,5,4,4,3,4,5,5,4,4,4,5,6,5,3,3,6,6,6,7,4,4,5,6,1,3,2,4,5,1,2,3,1,1,5,3,6, ,20.0,Novena,,Yishun,5, ,3,4.0,, ,2011,1,0,0,0,0, ,350000,, , ,2.0,1.0,2,1,3.0,2.0,1.0,4.0,3.0,30%,30%,2.0,1.0,4.0,3.0,400.0,300.0,350.0,1.0,3.0,4.0,2.0,35%,30%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,,3.0,4.0,4.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,400.0,-100.0,-0.25,300.0,-200.0,-0.6666666666666666,350.0,-150.0,-0.42857142857142855
20,21,26,25,1,2,1, ,1,3,3.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2025,2029,2.0,,3,5,4,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,3,1,4,2,20%,20%,3,1,4,2,800,500,700,1,3,4,2,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,1,1,0, ,1, , ,0,0,0,0,0,0, ,5,6,3,3,4,4,5,6,3,3,4,4,5,3,2,2,6,4,3,5,2,2,4,4,5,5,5,5,3,4,5,6,3,3,4,4,5,2,4,3,1,1,2,3,3,1,4,2,6, ,14.0,Sengkang,,Sengkang,5, ,3,5.0,, ,2000,1,0,0,0,0, ,600000,, , ,2.0,1.0,2,1,3.0,3.0,1.0,4.0,2.0,20%,20%,3.0,1.0,4.0,2.0,800.0,500.0,700.0,1.0,3.0,4.0,2.0,20%,20%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,,3.0,1.0,1.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,5,0,0,800.0,300.0,0.375,500.0,0.0,0.0,700.0,200.0,0.2857142857142857
21,22,38,21,1,1,1, ,1,3,1.0,0,1,0,0, ,0,1.0,,1,0,0,1,1,1,0,0, ,2,2,2,,2041, ,,3.0,3,2,1,4,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,2,1,4,2,1,3,25%,40%,4,3,1,2,900,800,1000,2,1,3,4,30%,40%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,1,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,6,6,2,2,3,6,3,5,1,1,6,6,6,6,2,1,2,6,6,5,3,4,5,6,1,1,1,1,2,3,3,2,3,4,3,4,5,3,4,2,1,1,2,3,3,1,7,3,6, ,16.0,City Hall,,Bencoolen,5, ,1,,5.0, ,2003,1,0,0,0,0, ,1000000,, , ,2.0,1.0,3,2,1.0,4.0,2.0,1.0,3.0,25%,40%,4.0,3.0,1.0,2.0,900.0,800.0,1000.0,2.0,1.0,3.0,4.0,30%,40%,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,,1.0,4.0,2.0,3.0,,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,0,2,1,1,900.0,-100.0,-0.1111111111111111,800.0,-200.0,-0.25,1000.0,0.0,0.0
22,23,42,32,3,1,1, ,1,3,4.0,0,0,0,0, ,0,1.0,,1,1,0,0,0,0,0,0, ,2,2,3,2.0,2034, ,2.0,,1,2,1,3,5,4, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,3,2,4,1,20%,15%,4,2,3,1,700,700,750,1,4,3,2,20%,15%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,1,1,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,3,6,3,6,5,3,5,3,5,5,5,6,6,6,6,6,6,3,5,3,5,3,5,6,3,6,3,6,6,6,6,6,6,6,6,1,5,2,4,3,3,2,1,3,1,4,2,6, ,14.0,Yio Chu Kang,,Lakeside,5, ,3,4.0,, ,2010,1,0,0,0,0, ,600000,, , ,2.0,1.0,2,1,3.0,3.0,2.0,4.0,1.0,20%,15%,4.0,2.0,3.0,1.0,700.0,700.0,750.0,1.0,4.0,3.0,2.0,20%,15%,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,,3.0,1.0,3.0,3.0,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,0,2,0,0,700.0,200.0,0.2857142857142857,700.0,200.0,0.2857142857142857,750.0,250.0,0.3333333333333333
23,24,29,23,1,1,1, ,1,3,2.0,0,0,0,0, ,0,1.0,,1,0,0,0,0,0,0,0, ,2,2,3,2.0,2030, ,2.0,,6,3,1,4,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,3,1,3,4,2,1,50%,30%,2,4,3,1,600,700,600,1,2,4,3,50%,30%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,4,4,2,1,4,3,5,1,2,3,2,2,4,2,6, ,3.0,Telok Ayer,,Tampines,5, ,3,4.0,, ,2010,1,0,0,0,0, ,1000000,, , ,1.0,2.0,2,3,1.0,3.0,4.0,2.0,1.0,50%,30%,2.0,4.0,3.0,1.0,600.0,700.0,600.0,1.0,2.0,4.0,3.0,50%,30%,,,,,,,,,,,,,,,,,,,,1.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,,2.0,1.0,3.0,4.0,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,600.0,100.0,0.16666666666666666,700.0,200.0,0.2857142857142857,600.0,100.0,0.16666666666666666
24,25,35,35,3,1,1, ,1,1,,0,0,0,0, ,0,1.0,,1,0,1,1,1,0,0,0, ,1,2,3,2.0,2024, ,2.0,,1,2,1,5,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,3,2,4,1,20%,5%,1,2,4,3,500,500,600,1,3,4,2,20%,5%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,1,2,4,5,1,2,3,2,1,4,2,6, ,2.0,Novena,,Khatib,2, ,3,4.0,, ,2017,0,1,0,0,0, ,450000,, , ,2.0,1.0,2,1,3.0,3.0,2.0,4.0,1.0,20%,5%,1.0,2.0,4.0,3.0,500.0,500.0,600.0,1.0,3.0,4.0,2.0,20%,5%,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,,3.0,1.0,4.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,500.0,0.0,0.0,500.0,0.0,0.0,600.0,100.0,0.16666666666666666
